Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
103983,Skeleton Key (Alex Rider #3),Anthony Horowitz,"Horowitz, Anthony",,"=""0142406147""","=""9780142406144""",0,4.07,Philomel Books,Paperback,327,2006,2002,,2025/04/14,,,read,,,,1,0
224500,Point Blank (Alex Rider #2),Anthony Horowitz,"Horowitz, Anthony",,"=""0142406120""","=""9780142406120""",0,4.11,Penguin Puffin,Paperback,274,2001,2001,,2025/04/14,,,read,,,,1,0
136782,Stormbreaker (Alex Rider #1),Anthony Horowitz,"Horowitz, Anthony",,"=""014240165X""","=""9780142401651""",0,3.98,Penguin Books,Paperback,256,2004,2000,,2025/04/14,,,read,,,,1,0
17570996,"Bloodline (H.I.V.E., #9)",Mark Walden,"Walden, Mark",,"=""""","=""9781838488307""",0,4.32,Noodle Fuel,Paperback,276,2021,2021,,2025/04/14,,,read,,,,1,0
16100368,"Deadlock (H.I.V.E., #8)",Mark Walden,"Walden, Mark",,"=""""","=""9781408829646""",0,4.39,Bloomsbury Publishing,ebook,300,2013,2013,,2025/04/14,,,read,,,,1,0
10412949,"Aftershock (H.I.V.E., #7)",Mark Walden,"Walden, Mark",,"=""1408815648""","=""9781408815649""",0,4.32,Bloomsbury Publishing PLC,Paperback,278,2011,2011,,2025/04/14,,,read,,,,1,0
8431746,"Zero Hour (H.I.V.E., #6)",Mark Walden,"Walden, Mark",,"=""1408800160""","=""9781408800164""",0,4.32,Bloomsbury Publishing PLC,Paperback,286,2010,2010,,2025/04/14,,,read,,,,1,0
7937776,"Rogue (H.I.V.E., #5)",Mark Walden,"Walden, Mark",,"=""1408800152""","=""9781408800157""",0,4.30,Bloomsbury Publishing PLC,Paperback,296,2010,2010,,2025/04/14,,,read,,,,1,0
6275767,"Dreadnought (H.I.V.E., #4)",Mark Walden,"Walden, Mark",,"=""0747594848""","=""9780747594840""",0,4.27,Bloomsbury Publishing PLC,Paperback,298,2009,2009,,2025/04/14,,,read,,,,1,0
4617762,"Escape Velocity (H.I.V.E., #3)",Mark Walden,"Walden, Mark",,"=""0747594856""","=""9780747594857""",0,4.26,Bloomsbury Publishing PLC,Paperback,343,2008,2008,,2025/04/14,,,read,,,,1,0
1446826,"The Overlord Protocol (H.I.V.E., #2)",Mark Walden,"Walden, Mark",,"=""1416935738""","=""9781416935735""",0,4.22,Simon & Schuster Books for Young Readers,Hardcover,384,2008,2007,,2025/04/14,,,read,,,,1,0
1008231,"H.I.V.E. Higher Institute of Villainous Education (H.I.V.E., #1)",Mark Walden,"Walden, Mark",,"=""1416935711""","=""9781416935711""",0,4.07,Simon & Schuster Books for Young Readers,Hardcover,320,2007,2006,,2025/04/14,,,read,,,,1,0
19288043,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""0307588378""","=""9780307588371""",0,4.15,Ballantine Books,Paperback,415,2014,2012,2025/04/14,2025/04/07,,,read,,,,1,0
35297426,Then She Was Gone,Lisa Jewell,"Jewell, Lisa",,"=""1501154648""","=""9781501154645""",0,4.04,Atria Books,Paperback,359,2018,2017,,2025/04/12,to-read,to-read (#6),to-read,,,,0,0
203742934,Coffin Dancer Header by Jeffrey Deaver (1998-11-05),Jeffery Deaver,"Deaver, Jeffery",,"=""""","=""""",0,4.16,Coronet Books,Hardcover,0,,1998,,2025/04/08,to-read,to-read (#5),to-read,,,,0,0
307791,"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,"DuPrau, Jeanne",,"=""0375822747""","=""9780375822742""",0,3.90,Random House Children's Books,Paperback,270,2003,2003,,2025/04/02,,,read,,,,1,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",0,4.31,Tor,Mass Market Paperback,324,2004,1985,,2025/04/02,,,read,,,,1,0
6411961,"The Lost Symbol (Robert Langdon, #3)",Dan    Brown,"Brown, Dan",,"=""0385504225""","=""9780385504225""",0,3.77,Doubleday,Hardcover,509,2009,2009,2025/04/02,2025/03/30,,,read,,,,1,0
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",0,4.27,St. Martin's Griffin,Paperback,264,2004,1939,,2025/03/30,to-read,to-read (#4),to-read,,,,0,0
